A: /home/workspace/git/openwatch/firmwares/H59MA_1.00.13_251230.bin  size=145552  sha256=7347dc5fe7c552d4f0fb93cffa2dd9cab6945b5628900705a07eb7a357781b65
B: /home/workspace/git/openwatch/firmwares/H59MA_1.00.14_260508.bin  size=137804  sha256=22fab44e1ee6f13972dec7e3bdde2da5719f962d518e36beb931f06800c3e82b
same_sha256=false  identical=6473  divergent=139079
Regions:
  0x000000..0x000004  identical  size=4
  0x000004..0x000006  divergent  size=2
  0x000006..0x000008  identical  size=2
  0x000008..0x00000A  divergent  size=2
  0x00000A..0x00000C  identical  size=2
  0x00000C..0x00000F  divergent  size=3
  0x00000F..0x00001C  identical  size=13
  0x00001C..0x00001D  divergent  size=1
  0x00001D..0x00001F  identical  size=2
  0x00001F..0x000024  divergent  size=5
  0x000024..0x000058  identical  size=52
  0x000058..0x00005A  divergent  size=2
  0x00005A..0x0001C4  identical  size=362
  0x0001C4..0x0001E4  divergent  size=32
  0x0001E4..0x00022C  identical  size=72
  0x00022C..0x00022E  divergent  size=2
  0x00022E..0x000454  identical  size=550
  0x000454..0x000456  divergent  size=2
  0x000456..0x00045E  identical  size=8
  0x00045E..0x00045F  divergent  size=1
  0x00045F..0x000462  identical  size=3
  0x000462..0x000463  divergent  size=1
  0x000463..0x000466  identical  size=3
  0x000466..0x000467  divergent  size=1
  0x000467..0x000468  identical  size=1
  0x000468..0x00046A  divergent  size=2
  0x00046A..0x00046C  identical  size=2
  0x00046C..0x00046D  divergent  size=1
  0x00046D..0x000472  identical  size=5
  0x000472..0x000473  divergent  size=1
  0x000473..0x000476  identical  size=3
  0x000476..0x000477  divergent  size=1
  0x000477..0x00047A  identical  size=3
  0x00047A..0x00047B  divergent  size=1
  0x00047B..0x00047C  identical  size=1
  0x00047C..0x00047E  divergent  size=2
  0x00047E..0x000480  identical  size=2
  0x000480..0x000500  divergent  size=128
  0x000500..0x000501  identical  size=1
  0x000501..0x000519  divergent  size=24
  0x000519..0x00051A  identical  size=1
  0x00051A..0x00055A  divergent  size=64
  0x00055A..0x00055B  identical  size=1
  0x00055B..0x00055C  divergent  size=1
  0x00055C..0x00055D  identical  size=1
  0x00055D..0x000597  divergent  size=58
  0x000597..0x000598  identical  size=1
  0x000598..0x00066F  divergent  size=215
  0x00066F..0x000670  identical  size=1
  0x000670..0x0006C5  divergent  size=85
  0x0006C5..0x0006C6  identical  size=1
  0x0006C6..0x00071A  divergent  size=84
  0x00071A..0x00071B  identical  size=1
  0x00071B..0x000788  divergent  size=109
  0x000788..0x000789  identical  size=1
  0x000789..0x00078A  divergent  size=1
  0x00078A..0x00078B  identical  size=1
  0x00078B..0x000796  divergent  size=11
  0x000796..0x000797  identical  size=1
  0x000797..0x00079C  divergent  size=5
  0x00079C..0x00079D  identical  size=1
