start	end	size	type
0x000000	0x000004	4	identical
0x000004	0x000006	2	divergent
0x000006	0x000008	2	identical
0x000008	0x00000a	2	divergent
0x00000a	0x00000c	2	identical
0x00000c	0x00000f	3	divergent
0x00000f	0x00001c	13	identical
0x00001c	0x00001d	1	divergent
0x00001d	0x00001f	2	identical
0x00001f	0x000024	5	divergent
0x000024	0x000058	52	identical
0x000058	0x00005a	2	divergent
0x00005a	0x0001c4	362	identical
0x0001c4	0x0001e4	32	divergent
0x0001e4	0x00022c	72	identical
0x00022c	0x00022e	2	divergent
0x00022e	0x000454	550	identical
0x000454	0x000456	2	divergent
0x000456	0x00045e	8	identical
0x00045e	0x00045f	1	divergent
0x00045f	0x000462	3	identical
0x000462	0x000463	1	divergent
0x000463	0x000466	3	identical
0x000466	0x000467	1	divergent
0x000467	0x000468	1	identical
0x000468	0x00046a	2	divergent
0x00046a	0x00046c	2	identical
0x00046c	0x00046d	1	divergent
0x00046d	0x000472	5	identical
0x000472	0x000473	1	divergent
0x000473	0x000476	3	identical
0x000476	0x000477	1	divergent
0x000477	0x00047a	3	identical
0x00047a	0x00047b	1	divergent
0x00047b	0x00047c	1	identical
0x00047c	0x00047e	2	divergent
0x00047e	0x000480	2	identical
0x000480	0x000500	128	divergent
0x000500	0x000501	1	identical
0x000501	0x000519	24	divergent
0x000519	0x00051a	1	identical
0x00051a	0x00055a	64	divergent
0x00055a	0x00055b	1	identical
0x00055b	0x00055c	1	divergent
0x00055c	0x00055d	1	identical
0x00055d	0x000597	58	divergent
0x000597	0x000598	1	identical
0x000598	0x00066f	215	divergent
0x00066f	0x000670	1	identical
0x000670	0x0006c5	85	divergent
0x0006c5	0x0006c6	1	identical
0x0006c6	0x00071a	84	divergent
0x00071a	0x00071b	1	identical
0x00071b	0x000788	109	divergent
0x000788	0x000789	1	identical
0x000789	0x00078a	1	divergent
0x00078a	0x00078b	1	identical
0x00078b	0x000796	11	divergent
0x000796	0x000797	1	identical
0x000797	0x00079c	5	divergent
0x00079c	0x00079d	1	identical
0x00079d	0x0007af	18	divergent
0x0007af	0x0007b0	1	identical
0x0007b0	0x0007c1	17	divergent
0x0007c1	0x0007c2	1	identical
0x0007c2	0x00084b	137	divergent
0x00084b	0x00084c	1	identical
0x00084c	0x000853	7	divergent
0x000853	0x000854	1	identical
0x000854	0x000872	30	divergent
0x000872	0x000873	1	identical
0x000873	0x000886	19	divergent
0x000886	0x000887	1	identical
0x000887	0x000901	122	divergent
0x000901	0x000902	1	identical
0x000902	0x000966	100	divergent
0x000966	0x000967	1	identical
0x000967	0x000999	50	divergent
0x000999	0x00099a	1	identical
0x00099a	0x0009ac	18	divergent
0x0009ac	0x0009ad	1	identical
0x0009ad	0x0009dd	48	divergent
0x0009dd	0x0009de	1	identical
0x0009de	0x000a1b	61	divergent
0x000a1b	0x000a1c	1	identical
0x000a1c	0x000a1f	3	divergent
0x000a1f	0x000a20	1	identical
0x000a20	0x000a23	3	divergent
0x000a23	0x000a24	1	identical
0x000a24	0x000a27	3	divergent
0x000a27	0x000a28	1	identical
0x000a28	0x000a30	8	divergent
0x000a30	0x000a32	2	identical
0x000a32	0x000a46	20	divergent
0x000a46	0x000a47	1	identical
0x000a47	0x000a75	46	divergent
0x000a75	0x000a76	1	identical
0x000a76	0x000a8d	23	divergent
0x000a8d	0x000a8e	1	identical
0x000a8e	0x000ab8	42	divergent
0x000ab8	0x000ab9	1	identical
0x000ab9	0x000ac3	10	divergent
0x000ac3	0x000ac4	1	identical
0x000ac4	0x000ad4	16	divergent
0x000ad4	0x000ad5	1	identical
0x000ad5	0x000b20	75	divergent
0x000b20	0x000b21	1	identical
0x000b21	0x000b52	49	divergent
0x000b52	0x000b53	1	identical
0x000b53	0x000b8b	56	divergent
0x000b8b	0x000b8c	1	identical
0x000b8c	0x000b92	6	divergent
0x000b92	0x000b93	1	identical
0x000b93	0x000b98	5	divergent
0x000b98	0x000b9a	2	identical
0x000b9a	0x000bd9	63	divergent
0x000bd9	0x000bda	1	identical
0x000bda	0x000c1c	66	divergent
0x000c1c	0x000c1d	1	identical
0x000c1d	0x000cc6	169	divergent
0x000cc6	0x000cc7	1	identical
0x000cc7	0x000cdd	22	divergent
0x000cdd	0x000cde	1	identical
0x000cde	0x000ce3	5	divergent
0x000ce3	0x000ce4	1	identical
0x000ce4	0x000d1e	58	divergent
0x000d1e	0x000d1f	1	identical
0x000d1f	0x000da6	135	divergent
0x000da6	0x000da7	1	identical
0x000da7	0x000e22	123	divergent
0x000e22	0x000e23	1	identical
0x000e23	0x000e72	79	divergent
0x000e72	0x000e73	1	identical
0x000e73	0x000eec	121	divergent
0x000eec	0x000eed	1	identical
0x000eed	0x000eef	2	divergent
0x000eef	0x000ef0	1	identical
0x000ef0	0x000f02	18	divergent
0x000f02	0x000f03	1	identical
0x000f03	0x000f11	14	divergent
0x000f11	0x000f12	1	identical
0x000f12	0x000f2f	29	divergent
0x000f2f	0x000f30	1	identical
0x000f30	0x000f47	23	divergent
0x000f47	0x000f48	1	identical
0x000f48	0x000f65	29	divergent
0x000f65	0x000f66	1	identical
0x000f66	0x000f71	11	divergent
0x000f71	0x000f72	1	identical
0x000f72	0x000f7d	11	divergent
0x000f7d	0x000f7e	1	identical
0x000f7e	0x000fc6	72	divergent
0x000fc6	0x000fc7	1	identical
0x000fc7	0x000ff8	49	divergent
0x000ff8	0x000ff9	1	identical
0x000ff9	0x001026	45	divergent
0x001026	0x001027	1	identical
0x001027	0x001044	29	divergent
0x001044	0x001045	1	identical
0x001045	0x00104d	8	divergent
0x00104d	0x00104e	1	identical
0x00104e	0x001093	69	divergent
0x001093	0x001094	1	identical
0x001094	0x0010a2	14	divergent
0x0010a2	0x0010a3	1	identical
0x0010a3	0x0010a9	6	divergent
0x0010a9	0x0010aa	1	identical
0x0010aa	0x0010b7	13	divergent
0x0010b7	0x0010ba	3	identical
0x0010ba	0x0010bb	1	divergent
0x0010bb	0x0010bc	1	identical
0x0010bc	0x0010d4	24	divergent
0x0010d4	0x0010d5	1	identical
0x0010d5	0x0010d6	1	divergent
0x0010d6	0x0010d8	2	identical
0x0010d8	0x0010e1	9	divergent
0x0010e1	0x0010e2	1	identical
0x0010e2	0x0010f8	22	divergent
0x0010f8	0x0010f9	1	identical
0x0010f9	0x0011c4	203	divergent
0x0011c4	0x0011c5	1	identical
0x0011c5	0x0011e6	33	divergent
0x0011e6	0x0011e7	1	identical
0x0011e7	0x0011ef	8	divergent
0x0011ef	0x0011f0	1	identical
0x0011f0	0x0011f2	2	divergent
0x0011f2	0x0011f3	1	identical
0x0011f3	0x0011fb	8	divergent
0x0011fb	0x0011fc	1	identical
0x0011fc	0x001224	40	divergent
0x001224	0x001225	1	identical
0x001225	0x001235	16	divergent
0x001235	0x001236	1	identical
0x001236	0x00123d	7	divergent
0x00123d	0x00123e	1	identical
0x00123e	0x001270	50	divergent
0x001270	0x001271	1	identical
0x001271	0x00127d	12	divergent
0x00127d	0x00127e	1	identical
0x00127e	0x001285	7	divergent
0x001285	0x001286	1	identical
0x001286	0x001289	3	divergent
0x001289	0x00128a	1	identical
0x00128a	0x001291	7	divergent
0x001291	0x001292	1	identical
0x001292	0x001294	2	divergent
0x001294	0x001295	1	identical
0x001295	0x00129d	8	divergent
0x00129d	0x00129e	1	identical
0x00129e	0x0012dc	62	divergent
